#      Train        Test
    0.794519      31.4945 
    0.783539      33.1966 
    0.876428      32.9167 
    0.843186       31.457 
    0.886825      30.5374 
    0.902676      31.3346 
    0.913668      30.9823 
    0.921074      31.0941 
     0.79444      32.8232 
    0.852317       32.999 
    0.886518      31.6724 
    0.740577      30.9101 
    0.801554      30.5547 
    0.826899      33.0131 
    0.852626      30.2544 
    0.899143      27.9533 
    0.984731      31.7174 
    0.865658      32.9328 
     0.89336      31.5453 
    0.889838      31.0807 
    0.901603      34.4934 
    0.854816      33.3156 
    0.862773      31.7885 
    0.807823      32.0208 
    0.835187      29.9527 
    0.877266       33.219 
    0.838833      33.8635 
    0.796193      30.5186 
    0.755543      31.5186 
    0.849302      31.8251 
    0.915608      34.2602 
    0.907069       31.483 
    0.898654      29.2476 
    0.926725      31.8193 
    0.723146      31.5804 
    0.765097      34.0743 
    0.819205      30.7508 
     0.88665      29.7844 
    0.780169      31.6219 
     0.86608      33.4405 
    0.835699      33.0526 
    0.894444      32.3557 
    0.713398      31.1731 
    0.864301      34.1893 
    0.813924      32.8544 
    0.835354      31.6675 
    0.807354      32.0056 
    0.788502      31.4662 
    0.850777      31.6391 
    0.802868      32.1501 
    0.887394      33.1757 
    0.810422      32.7963 
    0.946144      31.9932 
    0.719121      33.2691 
    0.759909      32.8724 
    0.842651      29.9759 
    0.927691      31.7876 
    0.752561      31.4302 
    0.900255      30.7685 
    0.830857      30.0406 
    0.781229      31.0686 
    0.890023      31.5528 
    0.876614      31.5441 
     0.75164      32.4613 
    0.880837      32.3123 
    0.756478      32.9002 
    0.727052      31.6083 
    0.785193      31.5549 
    0.835204      31.7408 
    0.924907      32.8813 
    0.735439      33.4025 
    0.964771      32.6841 
    0.844783       33.419 
    0.863104      30.7825 
    0.904762      31.3507 
    0.903462      31.5054 
    0.792581      33.5456 
    0.860164      33.0118 
     1.06586      31.8872 
    0.714624      32.9553 
    0.819672      32.3677 
     0.93401      31.2925 
    0.794851      32.0826 
    0.802004      32.5507 
    0.887473      35.0109 
    0.720221      32.3157 
    0.858982      33.3181 
    0.729099      33.4536 
    0.864799      33.2649 
    0.943149      34.3437 
     0.90093      34.1263 
    0.685681      33.4967 
    0.855272      32.4029 
    0.758937      32.3195 
    0.871167      33.0775 
    0.707809      32.4564 
    0.814937       32.836 
     0.81056      32.6969 
    0.769774      35.2729 
    0.876857      33.2385 
    0.765881      33.3149 
    0.810054      31.6127 
    0.901031      33.1018 
    0.851828      31.0309 
    0.829526      34.1827 
    0.853938      34.7765 
    0.888592      33.5665 
    0.838819      33.0942 
    0.853216      33.2567 
    0.772612      33.7475 
    0.842355      34.9473 
     0.84219      31.7522 
    0.933468      32.9586 
    0.856603      31.5223 
    0.781026      32.4456 
    0.814588      31.1951 
    0.874988      30.8904 
    0.802092      34.4233 
    0.812337      33.6655 
    0.930545      33.7301 
