#      Train        Test
    0.566359      27.7473 
    0.643273      29.4691 
    0.650591       29.628 
    0.652762      29.7478 
    0.676794       27.847 
    0.646072      29.9694 
    0.621294      29.0306 
    0.585851      30.2783 
    0.550682      31.4812 
    0.675681      31.9949 
    0.668163      33.1517 
    0.679082      30.3039 
    0.616575      31.3931 
    0.644386      30.5426 
    0.658494      30.9647 
    0.616718      30.8592 
    0.677886      33.1192 
    0.606055      29.8745 
    0.572454      30.3417 
    0.635952      29.4266 
    0.557077      31.0413 
    0.600525      29.9758 
    0.577437      29.9616 
     0.63671      29.5765 
    0.627973      30.0344 
     0.68757       31.213 
    0.598954      30.3272 
    0.633683      30.3301 
    0.697645      32.3465 
    0.659856      30.2866 
    0.707134      35.0634 
    0.667013      30.4977 
    0.691574       29.773 
    0.816368      32.0905 
    0.579449      32.0958 
    0.561188      31.6933 
    0.582351      29.9941 
    0.613886      29.8691 
    0.620258      30.5461 
    0.653689      29.9318 
    0.611312      30.4657 
    0.463114      32.5602 
     0.66169      32.2755 
    0.636479      30.1968 
    0.608244      29.5671 
     0.53612      29.9636 
    0.589461      29.6822 
    0.598822      30.2541 
    0.601979       30.124 
    0.634717      30.1778 
    0.716716      31.2191 
    0.566985      30.8341 
     0.58756       30.425 
    0.637211        30.33 
    0.688962      30.7832 
    0.626363      29.2449 
    0.650514      29.3929 
    0.688986      30.7988 
    0.627615      27.4678 
    0.645865      28.2391 
    0.696116      30.9568 
    0.625262      30.5277 
    0.619955      30.2429 
    0.605184      28.8143 
    0.621631      28.4152 
    0.642304      28.0775 
    0.698174      29.8014 
    0.594923      30.2184 
    0.593199      29.1817 
    0.664717       28.691 
    0.557878      29.1601 
    0.575076      32.3062 
    0.706924      32.1563 
    0.585359       31.119 
    0.740998      31.2021 
    0.584054      30.9742 
    0.679485       30.574 
    0.624124      30.3925 
    0.686141      30.5559 
    0.559526      31.1872 
    0.590972      31.0022 
    0.738008      32.7131 
    0.730226       29.082 
    0.717572      29.8419 
    0.643666       30.487 
    0.698921      29.8172 
    0.582504       33.452 
    0.602218      30.0981 
    0.683044      30.9599 
    0.643525      32.0296 
    0.590995      29.3693 
    0.630952      30.1692 
    0.578655      30.3534 
    0.633897      30.2794 
    0.537143      31.4471 
    0.566011      30.4873 
    0.632662      31.5696 
    0.734938      27.1376 
    0.801051      30.2609 
    0.616561      29.5564 
    0.612409      30.3294 
    0.593565      29.4108 
    0.640956      29.7826 
    0.571845      31.7226 
    0.583937      29.2717 
    0.629441      28.9098 
    0.711167      31.2305 
    0.583253      32.2076 
    0.711965      30.7737 
    0.638714      30.1339 
    0.641978      27.7111 
    0.656637      28.5873 
    0.666453      28.3086 
    0.603626      29.4942 
    0.596048      31.4473 
    0.631428      29.3663 
    0.622922      29.9333 
    0.644065       29.976 
    0.652416      31.2984 
    0.597527      29.6497 
    0.701558      32.8011 
    0.623273      32.7654 
    0.581458      31.6451 
    0.638284      32.9125 
    0.681418      29.7861 
    0.578296      30.8337 
    0.506407      33.2716 
    0.624576      30.0541 
    0.715409      29.3746 
    0.728959       30.158 
    0.669898      29.4657 
    0.592535      29.9533 
    0.563239       30.656 
    0.725099      30.0862 
    0.545867       30.467 
    0.595198      30.5422 
    0.714215      29.0948 
    0.626634      31.7134 
     0.66508      30.1737 
    0.662289      34.8955 
    0.667304      27.5719 
    0.632038      28.4588 
    0.711662      28.4421 
    0.585443      30.7249 
     0.61948      33.0592 
    0.640378      29.6978 
    0.648584      29.9484 
    0.660893      28.2807 
    0.669774      31.5616 
    0.552833      30.7036 
    0.686038      29.9518 
    0.667134      29.3919 
    0.607416       30.848 
    0.598703      33.0513 
    0.598586      32.3781 
    0.607697      31.8708 
    0.635435      30.1175 
    0.570036      32.7723 
    0.597057      30.5437 
    0.668296      31.1473 
    0.636314      29.4769 
    0.650822      29.9557 
    0.750752      29.8079 
    0.644099      29.2775 
    0.616066      28.4036 
    0.525843      30.8082 
    0.617358       31.403 
    0.668072       31.109 
    0.594765      31.4363 
    0.598726      30.8861 
    0.516544      29.7824 
    0.669457      32.1499 
    0.590559      30.6477 
    0.655238      29.2394 
    0.606441      30.8899 
      0.6715      30.7831 
     0.64678        30.27 
    0.670356      31.7608 
    0.731175      29.2192 
     0.73582      29.5167 
    0.636473       32.381 
    0.666009      34.1867 
    0.642434      31.2162 
    0.542433      30.8609 
    0.633739      32.7314 
    0.674986      32.4317 
    0.608867      32.3858 
    0.598589      30.6503 
    0.725905        29.36 
    0.673321       32.021 
    0.712597      32.5809 
    0.630015      31.0408 
    0.693658      31.1633 
     0.65052      29.3256 
    0.633668      32.4722 
      0.5698       30.343 
    0.588649       29.939 
    0.660387      30.3704 
    0.747903      29.7299 
    0.648846      30.7036 
    0.617368      29.5147 
    0.666076      29.6615 
     0.66444      29.5115 
    0.641721      28.9564 
    0.598938      30.3145 
    0.625967      29.9629 
    0.737151      28.7685 
    0.688969      28.8656 
    0.714666      30.5349 
    0.679364      29.6981 
